model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dx,6,8,0.3310812347633817,0.3582444444444445,0.24154761904761904,0.19370315240315242,0.18144967803094741,0.17866874070740132,0.1783178955032228
rnn,dxtx,6,8,0.44714071592684296,0.32097777777777775,0.20505026455026454,0.16636463906463905,0.15672514244727867,0.15464749976789685,0.15439405247444954
rnn,dx,6,8,0.4075793706663917,0.33280000000000004,0.21037037037037037,0.17033920153920154,0.1606038042223801,0.1584722928352165,0.15819780090739127
brnn,dxtx,6,8,0.432028374563065,0.34068888888888893,0.21115978835978838,0.17165096385096384,0.1621522251742066,0.1600108298545504,0.1597527481831354
brnn,dx,6,8,0.4504610267426645,0.33777777777777784,0.20908888888888888,0.1701307359307359,0.16036075542391331,0.15807387293442213,0.15779322716044303
retain,dxtx,6,8,0.3911692867027949,0.4308888888888888,0.2873179894179894,0.23528249158249157,0.22173054799804026,0.21868977881553192,0.21833186808428787
retain,dx,6,8,0.4134604694627193,0.4348,0.2935116402116402,0.23962883412883412,0.22460310313468207,0.22109603368239528,0.22069641354944178
deepr,dxtx,6,8,0.40083572851416704,0.45584444444444444,0.304668253968254,0.2509996780996781,0.23710658671107587,0.2341101565711675,0.23369306255407343
deepr,dx,6,8,0.4127184958844786,0.4421555555555556,0.3022068783068783,0.24929163799163798,0.23446259233828895,0.23102487980927205,0.2305871969982559
bitenet,dxtx,6,9,0.3185323169674315,0.34062222222222216,0.215178835978836,0.17310724090724086,0.1619613975406545,0.15904230725895555,0.15849563273297065
bitenet,dx,6,9,0.33913507795195336,0.3455777777777777,0.21841587301587304,0.17483636363636362,0.16315661934098466,0.15999277844757856,0.15939516824169248
rnn,dxtx,6,9,0.32522983055339727,0.3357333333333334,0.2070227513227513,0.16739189329189327,0.1569319288382756,0.1542823736591552,0.15377982883063335
rnn,dx,6,9,0.3545922028050565,0.3549777777777778,0.22204232804232804,0.17898975838975836,0.16736606271265714,0.16440104985112253,0.16386147434786888
brnn,dxtx,6,9,0.361493237233275,0.3453555555555555,0.21532698412698412,0.1740805194805195,0.16320314876615186,0.16044474861557778,0.15992473982062647
brnn,dx,6,9,0.4014419260658115,0.3568,0.2190058201058201,0.17815902245902243,0.16738372146143046,0.16469123134285338,0.16416559059790226
retain,dxtx,6,9,0.356084343174357,0.40240000000000004,0.2720349206349207,0.22308271728271725,0.20916990338522842,0.20539626388463242,0.20470040471612957
retain,dx,6,9,0.3343043062743437,0.4145333333333333,0.27236243386243386,0.22067769637769638,0.2056522176481929,0.2016096227551632,0.2008037181616724
deepr,dxtx,6,9,0.34562996410682745,0.44266666666666665,0.29404497354497355,0.23953328523328526,0.22395011243200094,0.22004510082525025,0.2193367878185464
deepr,dx,6,9,0.3290624990147187,0.44439999999999996,0.29391005291005295,0.24108337958337958,0.22580277529488058,0.22169381739287922,0.22099418575163834
bitenet,dxtx,6,10,0.37478566162423943,0.32591111111111115,0.2067756613756614,0.16734031894031892,0.15771925484216506,0.15556790030298442,0.15517863051785255
bitenet,dx,6,10,0.35901037353734344,0.3255333333333334,0.20920211640211642,0.16756333296333295,0.15701089631615947,0.15466308277704158,0.15422849897004398
rnn,dxtx,6,10,0.4123262293875316,0.3119777777777778,0.18793597883597882,0.15287836977836977,0.14439162513899353,0.1425214086887771,0.14221423228918692
rnn,dx,6,10,0.4015700002453497,0.318,0.1962142857142857,0.1616084471084471,0.15335067277064182,0.15170946441378128,0.15144921656456792
brnn,dxtx,6,10,0.39215946718989464,0.2938888888888889,0.1759444444444445,0.13929360639360638,0.1307392720282813,0.12885316750478545,0.128530975503513
brnn,dx,6,10,0.4068159680865753,0.30746666666666667,0.18083227513227512,0.14367378917378917,0.13473182724281796,0.13277790165150105,0.1324562880586231
retain,dxtx,6,10,0.3674682419648926,0.3983111111111111,0.25883121693121697,0.21234491064491062,0.20026659967139843,0.19765441321051633,0.19718752348891394
retain,dx,6,10,0.3565726586614105,0.39911111111111114,0.260931746031746,0.21394055944055942,0.20192521275307654,0.19910855047815337,0.19858583564509372
deepr,dxtx,6,10,0.37329933191454934,0.4325111111111112,0.28805555555555556,0.2376245865245865,0.2246630626167778,0.2215825908180451,0.22099972263471715
deepr,dx,6,10,0.3586176959653887,0.4275555555555555,0.28665767195767194,0.23790518740518737,0.22443338944623772,0.22121115342139305,0.2206166875041685
bitenet,dxtx,8,1,0.4407004098130907,0.3660666666666667,0.2411703703703704,0.19352688052688055,0.1825128167727239,0.18004706609827759,0.17957075417690815
bitenet,dx,8,1,0.4067224485770169,0.3121333333333334,0.2035867724867725,0.16284189514189515,0.15339209580695648,0.15113398425667102,0.15066367423463686
rnn,dxtx,8,1,0.40154162756181067,0.3037555555555556,0.18651957671957672,0.15109859769859768,0.14318396061569438,0.14134355532050646,0.14101379030476444
rnn,dx,8,1,0.4060291953956681,0.34324444444444446,0.21515608465608466,0.17484943574943573,0.16567942084288834,0.16359749725922562,0.16320604763605187
brnn,dxtx,8,1,0.42661259331993895,0.34557777777777776,0.20979629629629631,0.17008742738742738,0.1611803295775432,0.15920786580942725,0.15882289432284658
brnn,dx,8,1,0.44327962141110955,0.34073333333333333,0.21387037037037035,0.17272689162689162,0.16365718058457995,0.16161508133117636,0.1612076976888502
retain,dxtx,8,1,0.37739889148963246,0.41311111111111115,0.26578994708994713,0.2179823768823769,0.20647860579393087,0.20390108399206125,0.20349166572195335
retain,dx,8,1,0.39490893526783427,0.4375777777777778,0.28528835978835976,0.23416490546490548,0.22102961708054586,0.21810021247548908,0.21753522592521518
deepr,dxtx,8,1,0.3675478527102672,0.44908888888888887,0.29864285714285715,0.24680626780626783,0.23364702001358348,0.23053663667711316,0.22994494453783484
